cluster,angle,major,minor,pixel,size,diameter,center_x,center_y,color_variance
100,0,0,0,2236,6357.55270384,89.97048132730559,1776.7156081395349,555.2492203041145,274.47985477517034
101,0,0,0,2765,7861.6427666,100.04876039719967,1351.6902413743219,572.7018217721519,38.4074524948579
102,0,0,0,4785,13605.049055399999,131.61491733613272,814.3613022779518,657.803358662487,332.1074056531153
103,0,0,0,4292,12203.31672848,124.6504931222852,2020.1752465051259,580.0205846225535,1283.126846235959
104,0,0,0,1815,5160.5358486,81.059227201232,2561.331296749311,557.0823895316804,775.35966001108
105,0,0,0,2319,6593.54415036,91.62511201736979,1032.37613178094,598.7282466580422,140.6456382126316
106,0,0,0,3728,10599.71220032,116.17216850975619,1862.7738162553649,596.6682927575107,436.2821559587348
107,0,0,0,4546,12925.50742024,128.2858806853558,1286.637365508139,604.7193169819622,206.2334070417489
108,0,0,0,2268,6448.5373579199995,90.61199020993718,1872.551865079365,573.5704464726631,63.199145810587616
109,0,0,0,4153,11808.10213732,122.6154255773213,313.48946901035396,649.1874060197447,130.59033574260346
110,0,0,0,1346,3827.04201224,69.80502295212573,2458.137599554235,613.1679640416047,26.835950005409234
111,0,0,0,3553,10102.13987332,113.4127152181663,1142.9066447509147,645.6964283703911,198.94747552026493
112,0,0,0,3718,10571.27949592,116.01625357101194,2456.1108472834853,599.7579381925766,27.24458944043501
113,0,0,0,2243,6377.45559692,90.11120163881479,1754.623785822559,656.7076173874276,11.364694718735596
114,0,0,0,2980,8472.9459112,103.8657296442958,153.56528953020134,606.7513438926175,25.27647358227107
115,0,0,0,2349,6678.84226356,92.21586676387692,1167.0356020434226,650.3786100468284,29.0894354472008
116,0,0,0,3098,8808.45182312,105.90216800939876,1694.9211047772756,629.8501286636539,377.5158695857841
117,0,0,0,2046,5817.3313202399995,86.06309477212622,162.34908318670577,647.5403589442815,22.146494029310222
118,0,0,0,2670,7591.5320747999995,98.31499805604808,1861.785205917603,709.3098188014981,38.74421523657226
119,0,0,0,5332,15160.31798608,138.93421598237347,2113.4771346586645,723.2434998874718,581.0581095316027
120,0,0,0,10915,31034.2968526,198.78152327563123,565.0314846541456,732.1481944846541,769.3860346839537
